no,komentar
182,"MBG itu penting, negara kita cerah, 🫠🫠🫠"
183,Perbanyak Istighfar kalau gini...
184,"""SELAMAT MALAM, SAHABAT TWITTER, APA KABAR ?"" Ucap ceo mbg 2013"
185,Gass trus wooo. Msh banyak ga kebagian proyek MBG mu tuh
186,Alhamdulillah gua ada $ 10.000 😂
187,Naikkan gaji dan upah indonesia 4×lipat
188,Wihhh luar biasa🔥🔥
189,Mbg yg penting aman
190,Menyala @prabowo sekalinya jdi presiden ..
191,"Ku tunggu di 18 rebu, minggu depan Kan tercapai 😂😂 Hidup MBG"
192,Nunggu bisul meletus
193,Memang ini yang lagi dilakukakan
194,"Janji kampanye prabowo gibran , dollar 5rb . Ternyata mo naik 5rb😢😢"
195,"Bukannya rupiah melemah gegara faktor global ya seperti konflik timur tengah dan harga minyak naik? terus kenapa prabowo yg disalahin??, Bank indonesia aja udah jelasin kalau faktor rupiah melemah karena faktor itu, terus ini kenapa para komennya pada nyalahin prabwo ya. Konteksnya gimana?"
196,"Ok gass,, Ok gass 😢"
197,Ayo kuatkuatan aja 😂
198,Ok gas aja dulu
199,Ayooo Ndut naik lagi ...bisalah 22.000. prestasi si gendut neh ......ini yg katanya Indonesia Terang itu ....Terang NdasMu 💩🐷
200,Inilah klu negra di kuasai org yg tidak kompeten dibidang nya . Hancur di semua sisi ...pjbt mkn kaya raya ..rakyat jelata mkn blangsak . Nah yg lucunya rakyat jelata yg bodoh itu ....malah muja2 penguasa yg memiskin kan hidup mereka ....block
201,Saat nya reformasi
202,Pendukung wowok yg dungu MN paham ini ...otaknya ga akan nyampe
203,Ponakan prabowo dipasang di BI memang untuk ini tujuannya
204,Police diperkuat kurs 50.000 juga masih ok
205,Kaum 58℅ ngga apa dollar naek saya belanja pake rupiah😂😂😂. Bodohnya tak bertepi
206,TENANG AJA TARGET DI 50RB ! 20 TITIK AMAN PERTAMAN PASTI TEMBUSLAH !👏🔥
207,Lebih parah dari krismon 1998
208,😍😍😍 MBG SOLUSINYA 😍😍😍😍😍 OKE GAS 🥰💃 OKE GAS.. 💸💸💸💸 2029 SATU PUTARAN 💸💸💸💸🥂😎 SIREKAP APLIKASINYA 😇😇😇
209,30000 akhir tahun🙏🙏
210,Goceng katanya nanti
211,Ternyata banyak bener anjing peliharaan pemerintol lagi gonggong.. Di iming2 dog food premium sih yah? hehe..
212,Nggak masalah mau naik sampai go cap juga aman kok nkri
213,MENUNGGU GERAKAN 98 JILID II
214,Aminnnnnn Aminnnnn Aminnnnnnn Ya Allah
215,Dapak BoP mata uwang negara Indonesia di caplok dolar AS akibat prsiden palsu
216,"Oww masi jauh itu,, targetnya 28.000 🔥🔥🔥"
217,Solusinya @presidenrepublikindonesia ?
218,kekny senin melemah lagi soalny minyak tmbh mahal lagi
219,"Tenang tenang kita masi pnya mbg dan kopdes,itu smua hnya akal2an aseeeng yg tdk ingin indonesia maju.kata2 aki2 yg dri dlu pngen jdi orang no 1"
220,terpenting pejabat dan keluarganya sejahtera dari hasil keringat pajak rakyat.
221,Tanggung amat 22 rebu😂😂😂😂😂54 rebu sekalian
222,Semangat menuju 100.000 cuma kurang 82k😍😍
223,Buzzer mafia dan koruptor sedang menyerang pemerintah. 🤣🤣🤣
224,Gassss sampe 50rb biar kaum 58% pada sadar
225,Semua sudah ikhlas prabowo gibran turun..gak ada perubahaan malah merosot..nyalahin antek antek asing tp gak intropeksi si tua NPD sama bocah kosong😢 MBG makin kacau tujuannya apalagi kopdes... gregetan
226,Pasti sampe 20an ribuan atau malah lebih kalo liat cara negara diurus kayak sekarang.
227,Makan solusi nya
228,BI yg bner lu shibal
229,50k per dollar wowo ttp joget coy 😂😂😂
230,4w · Edited
231,Hidup MBG Kopdes. Ok Gasss. Sampai Bubar
232,"Kalo mbg bubar baru itu masuk fase krisis, selagi mbg jalan berarti baik2 saja 🙏🏼🤣"
233,Sama dengan ramalan prof ferry
234,Gk ada demo ya
235,"Bingung...... Bingung saja melihat keadaan pemerintah saat ini. Bangsa ini besar tapi pemimpin nya berjiwa kerdil dan bila pidato pasti ada kata2 SEPANJANG SEJARAH .... SEPANJANG SEJARAH BERDIRI NEGRI INI...... Dia lah paling hebat pemimpin di negri ini😂😂 ANEH NYA LAGI DOLLAR UDAH MENGHANCURKAN SENDI EKONOMI NEGARA INI TAPI MAHASISWA KOK BUNGKAM......??? MANA GRAKAN MORAL MAHASISWA, MN KEPEDULIAN MAHASISWA.....??? MANA AKSI MAHASISWA.....??? MN DEMO MAHASISWA ......???? 😮😮😮😂😂😂😂"
236,Gpp... klo dh ada penjarahan bru saya yakin efek dari dolar naik
237,"Sekalinya jd Presiden, amburadulllllll"
238,"Gassss, rupiah ke 50 ribu 😂😂"
239,@prabowo mau kabur lagi ke yaman yah sekarang
240,Kata Jokowi obligasi itu apa?
241,Target $1 = Rp.50.000.
242,Apbila suatu urusan di serahkan kpda yg bukan ahlinya maka tunggu saja kehancuranya
243,Tinggal pindah ke Yuan jangan pake dolar lagi
244,Ya mungkin dg cara ini yg bisa menumbangkan pemerintahan seperti thn 98
245,"Rupiah bisa berfluktuasi, tapi persatuan kita harus tetap stabil. Jangan biarkan kepanikan mengadu domba, dan jangan jadikan saudara sebagai tempat menyalahkan *Gotong royong adalah tampan terbaik saat ekonomi bergejolak. Perdamailah perbedaan, tolak hasutan, dan jaga tali silaturahmi* *Bangsa yang kuat tidak diukur dari mata uangnya, tapi dari cara warganya saling melindungi saat sulit. Mari bersatu, bukan terpecah 😊"
246,terima kasih prabowo
247,Prabowo tau ga sih dia mesti ngapain? Atau tetap keras kepala dg mbg dan kopdes merput nya?
248,ngotot mbg.....bangkrut negaramu...😂😂😂😂
249,Menuju indonesia bubar 😂😂
250,Impor harus ditutup
251,Ngerii sih inih
252,"ATH gess, otw 17.845 ini"
253,Punya presiden cuma bisa pidato mana jelek lagi pidatonya
254,Katanya fundamental bagus tapi rakyat sudah mulai merasakan berat dengan kenaikan semua harga barang
255,Duit Masih Banyak Kata @prabowo
256,"Alhamdulillah semoga secepatnya tembus 30 ribu,biar rakyat oksedus besar besaran keluar negeri jadi TKI, harapan besar terbuka untuk penghasilan TKI."
257,Jogetinja ok gas ok gas 😂
258,Aamiin.. Kencangkan sabuk pengaman.. Kita akan terbang menuju bulan.. Menuju 22.000
259,BODO AMATTT YANG PENTING MBG TERUSSSS JALANNN... SUPAYA BANGSAT2 PIARAAN SI WOWOK ANTENG
260,Menuju Indonesia maju 2030😂😂😂
261,Lah pak purbaya sdh bilang santai ssja sdh di mitigasi he he
262,Presiden & semua pejabat2 layak diganti ... bila ga mampu selesaikan masa krisis negara ...
263,PEMERINTAHANN AMBURADULLLPEMERINTAHANN JAHANAMMM!!!!
264,Klu sdh 20.000 alasan penguasa Indonesia apa ya?
265,Ah Iran bisa ko tetap survive walau dengan mata uang yg lemah.
266,Jika 22 rb...semua pabrik tutup... phk masal... inflasi... trus konoha gelap... lalu mau alasan apa si wowo n gub bi
267,Itu yg wowo mau sama rezimnya biar pundi pundi simpanan dolarnya melonjak
268,"Gpp, porto saya amaan 👏"
269,"Gausah dilebih-lebihkan, tapi ini memang melebihi batas 😞"
270,Yang penting MBG dan kopdes nya jalan
271,Insya Allah pas Juli udah 30 ribu. 👏
272,"rakyat bantu pemerintah, tapi pemerintah memeras rakyat"
273,GAK MASALAH.. GAK ADA NGARUH DI HIDUP GUE . MAU 30RB 40RB 50RB..
274,Saya akan pertaruhkan jabatan demi MBG😂
275,Besok 22 rb. 17 agustus 100rb
276,Awas pak nanti ditangkep. Kena kasus membuat gaduh negara.
277,Ngeri bosss 😮
278,Selama MBG dihidupkan.rupiah mau brpa pun GK peduli mereka
279,Tapi mbg harus terus berjalan😢
280,Yg gajinya dolar smilee😒😒
281,jika tidak ada demo besar brti masih aman dolar to rupiahnya🔥
282,"Biar ajalah....mau 100,000 perdolar, yang penting mereka senang duduk di kekuasaan"
283,""".....masih cukup bagus...."", bangke bangkeee 👏"
284,"@prabowo @gibran_rakabuming kerjaaa yg bnr donk woyyy!! Ngapain ajh sih kelean rupiah smpai gk ada harganya ginii!!! Kl gk sanggup, turun woyyy!!"
285,"Skemanya begitu,mereka kaya tgl pindah LN negara d ambil org masa bodoh jd skrg gemukin simpanan 😂"
286,kesombongan pemerintah di bayar tunai
287,MBG Kopdes tetep jalan nih?
288,"Dengan terus melemahnya nilai tukar rupiah berpotensi memicu kekacauan sosial atau ketidakstabilan rakyat jika tidak dikelola dengan baik. Pelemahan rupiah yang signifikan membuat biaya impor barang meningkat, yang berdampak langsung pada kenaikan harga kebutuhan pokok, transportasi, dan energi."
289,"rumahnya belum roboh, tapi temboknya mulai retak dan orang mulai khawatir."
290,"Alhamdulillah 🤲🤲🤲🤲,sing penting artikulasi nya yang jelas , hidup MBG"
291,"Klu lihat situasi masyarakat di kampung ,santai""saja,mau rupiah anjlok kayak gak peduli."
292,"Kalau obligasi 90 persen yg beli orang kita sendiri, kalau gagal bayar apa gak ambruk ekonominya? Mohon penjelasan"
293,"kok nakutin sih, dasar antech async."
294,Jika sampai 22 rb Indonesia Collapse
295,akankah Indonesia kebali menjadi masa di era 90 an?? kita liat sejauh mana rakyat bisa bertahan dengan kekacauan yang pemerintah buat
296,Jangan dongg 😢
297,Kemaren aku #BERMIMPI malah menjadi 19.700
298,"Tolak pembayaran rupiah kertas toilet sampah ribawi laknatulah yang terus menerus merosot tajam daya belinya, biang kerok kemiskinan rakyat Indonesia.... bubarkan bank sentral Indonesia, institusi setan ribawi dajjal laknatulah yang sangat zholim menindas rakyat kecil dengan pemaksaan penggunaan uang kertasnya"
299,22k apa ke 100k😂
300,otw 50ribu juga tembus klo rezimnya kyk gini
301,Tahan dlu smpai tembus 20rb …
302,"DISURUH EVALUASI GAK NIAT , DIKRITIK MALAHAN DIKATAIN KUDETA . 🤣🤣🤦‍♂️🤦‍♀️"
303,Investasi minyak goreng mumpung harganya naik Mulu
304,"Tenang saja, sebentar lagi akan jatuh 5000 rupiah per dollar"
305,Kurs USD 22rb priced in @setiantobs 😂
306,Mau sampai kurs 100ribu pun MBG tetap jalan dulu
307,cepatlah 22k biar ganti rezim
308,Resiko terburuk yaudah 🇮🇩 bubar 2026 😂
309,Langkah nyata harus dijalankan🔥
310,Wowo & wiwi
311,Yuk bisa yuk
312,Kita PESTA BABI 😂
313,Amann amannn katanyaa..
314,"Gpp..biar yg ngmg 'dollar naek gangaruh bwt hidup gw"" pada tiarap"
315,"Jaman goro goro sebelum satrio piningit/hidden knight lan Ratu Srengenge muncul ke permukaan, satrio piningit pembawa kedigdayaan Nusantara lan Ratu Srengenge ngatur jalane pemerintahan. Gile Nubuat Jayabaya ngeri banget buat Nusantara, satrio piningit atau ksatria tersembunyi jadi dewa perang Nusantara dan Ratu Matahari jadi pengatur jalannya pemerintahan Nusantara Raya. Indonesia jadi negara superioritas perang selanjutnya, pantes dulu ada Angkatan Perang Ratu Adil. Nubuat Jayabaya bikin Indonesia jadi superior Nusantara."
316,Rakyat Indonesia gak makan dollar. Makannya MBG. HIDUP JOKOWI!!!
317,Selama kita msih bsa tingkatkan SDM kuat & mengurangi ketergantungan barat.. maka kita akan msih baik² saja sprti iran
318,"Ga apa apa, selama masih ada rejeki dari Allah, aman aman saja."
319,Program MBG jalan terus sampai KIAMAT kek slogan warung madura
320,Duh belum 2 tahun ini masih lama 5 tahun bisa anjur 😂
321,Hancurrkannn indonesiaaaa 🔥🔥🔥
322,Negara kaya dikelola banyak pejabat ODGJ 😢😢
323,Hei orang - orang pinter ucap ceo mbg😂😂
324,Eaaaa. Sedngkan gaji gak naik2.
325,"TENANG , SEBENTAR LAGI 5.000 SESUAI TARGET PRABOWO ...😂"
326,Bubar aja bubar
327,"Mau impor pake dollar, pake yuan, pake ringgit, pake yaman rial, melemah semua lah 😂"
328,Go ..go.. 25rb😂
329,Jadi bubar ga indonesia??
330,"Dengan kinerja pak prabowo yang buruk, boros anggaran untuk MBG, hukum tidak jelas sehingga investor takut, sangat mungkin rupiah terus menurun"
331,Akhirnya menjelang bubar😮
332,Indonesia telah di pimpin oleh org2x yg bodoh dan tolol...
333,"Makin panik warga Konoha....semakin panik, semakin cepat kolaps Prabowo, yg skrg ketawa2 dan siap2 mau naik jd presiden si Fufufafa 😂"
334,Ganti rezim ya Allah😢
335,"Tenang saja duit kita masih banyak ,fiskal kita bagus😂😂😂"
336,Semua bisa diatasi dengan MBG
337,Menuju Indonesia bubar lebih cepat 🙌
338,Semoga target 25rb segera tercapai... Agar mudah mencapai target yang lebih tinggi 😂😂😂
339,Semangat bisa sentuh 30 RB 👏👏👏👏👏
340,"Gue gabisa jajan game woi, makin mahal anj"
341,Klo bisa 100.000 per Dollar 🔥🔥🔥
342,Dan rakyat Indonesia masih sabar tapi sabar ada batasnya..harapan bangsa ini ada tangan gen Z🔥🔥🔥
343,Prabowo gak tau solusi apa yahh. Seperti habibie dlu
344,Euro simpat tembus 21 negara-negara nya santai aja 😂😂😂
345,Mntap pak @prabowo mau tembus 18 ribu ... 🔥🔥🔥🔥fokus mbg aja.. Proyek bgus
346,Bajingan penculik dan pembunuh kok dijadikan presiden
347,"25 k pun kaum 58 ttap Ng paham 😂..,....."
348,Musik ok gas ok gas tambah lagi kita gas
349,Cuma segelintir mahluk2 yg terafiliasi mbg yg nikmati pertumbuhan ekonomi hari ini. Sisa puluhan juta lain nya jadi tai
350,Jangan bikin resah brita2 apa?
351,Hmmm...ini seperti pembiaran dari awal...sehingga dgn nilai yg under valued jadi lebih berat ...harus ada usaha yg lebih keras dari pemimpin....
352,Solusinya joget 😂
353,MBG TETAP BERJALAN SEMUA AMAN
354,"Pasti terjadi, tinggal tunggu waktu"
355,Indonesia menuju zimbabwe
356,Prestasi yg luarbiasa menurut para pemilih nya .. wkwkwkwkwkwkw tp ujung ujung nya pd ngarep bansos ..wkwkwkwwkwkwkwk.. itulah penting nya berakal sehat waras cerdas pintar dalam memilih ..
357,Dalang utananya PRABOWO
358,Selamat warga 58
359,Saya doakan semoga cepet 98 lagi
360,Tidak apa apa agar masyarakat kita lebih pintar dan kritis lagi . Jdi harus seperti ini.
361,Gas to the moon 🔥🔥🔥
362,Rezim bajingan jendral yolol bin dungu laknat sebentar lagi rontok!!! Amiiiiiin!
363,Presiden jogetin ajahhhhh
364,"Di daerahku udah mulai banyak maling motor, seminggu 2 kali panen dan berhasil"
365,Kalo rupiah terpuruk jual pulau aja
366,Bodo amaaatttt pasrah aja Ama yg maha kuasa smua yg terjadi atas kehendak ilahi mau gimana LG org kecil begini bisa apa
367,WOW🔥🔥 JOGED in aja katanya😂
368,Feri Latuhini sudah memprediksi ini dan si bebal beserta kroco nya ga terima
369,Hidup Jokowi 😂😂😂kata si omon omon ...
370,Gas sampai 170845 😂😂😂😂
371,Semoga 100 ribu per dolar😂. Hidup jokowi😂
372,Hanya perasaan kalian aja 😢
373,Msh bagus??? OMG fundemental apa 22rb itu sdh masuk negara bangkrut!! Msh aja di belain pemerintah gagal 🔥
374,Tenang ada Prabowo sm Letkol Teddy…. Tar jg d kasih Kue Ultah ekonomi meroket lg (meroket kebawah)
375,"Keturunan cina ""HASIL PEMILU CURANG YANG BERKELANJUTAN TIDAK BISA DIPERCAYA...SUDAH PIKUN OTAK LEMOT BICARA BOHONG...PINTAR MEMBODOH BODOHI RAKYAT BODOH DAN GOUBLOK...YANG PINTAR TAKUT MATI DIBUNUH JIKA MELAWAN DAN MENANTANG...BANGSA DAN NEGARA INI DIJAJAH DARINDALAM DAN DARI LUAR...PELAKU UTAMANYA YA KETURUN CINA YANG CARI KEKAYAAN DI BUMI INDONESIA INI ...""...INI SANGAT BENAR DAN TERANG BENDERANG LHO...KETURUNAN CINA ITU SANGAT LICIK...MENGHALALKAN YANG HARAM HARAM...JIKA BICARA RAMEI SEPERTI PASAR...BERISIK...SANGAT SOMBONG...SANGAT ZALIM...SANGAT BIADAB...SANGAT TIDAK PUNYA ADAB..."
376,"Rakyat beratt woyyy,, barang2 pasti mahal nih,, ayoh donkkkk kerja bikin turun lagiiiii"
377,Kondisi rupiah saat ini adalah bukti ekonomi bangsa telah salah urus bung. Hampir semua nilai tambah dinikmati bangsa asing ( twit pascabowo 2013)
378,@gerindra Sesak nafas gak nih 😂
379,Wah bisa lebih rendah dari uang dong vietnm
380,Ujung2nya rakyat yg menanggung derita. Kalangan elit pd kabur😂
381,Dari penurunan rupiah yg sangat tajam.. bukan hal yg tidak mungkin sih ke angka 20rbuan😢
382,Naik kan terus pantang mundur
383,Tambahkan aja MBG nya biar terasa asin😂
384,Yeay..jogetin aja kata kaum 58 %😂
385,Bagus deh dollar sampai 22 rb biar paket Prabowo dan Gibran jatuh dan berhenti program mbg dan kopdes
386,Yuk bisa otw 20rb perdolar 😂😂
387,50 ribu juga akan ok gas🔥🔥
388,Mo sampai 100rb juga kami tetap idup 😂😂😂 gas lah
389,Senang berkenalan dengan anda
390,"Biar aja kalau perlu 50 ribu sekalian,, biar bubar ,, mau liat aku akun buzzer masih dukung kah atau pura"" tolol"
391,Lebih parah dr covid🔥
392,MBG tetap harus jalan apapun terjadi 😂
393,"Wuih, Rp makin turun Emiten ane makin Cuan Luber🤭 yang ngikutin Post ane harusnya tau... 🤫"
394,Ok gas ok gas
395,Santai saja uang kita masih banyak kata mbah wo
396,Selain MBG ga penting kata si bowo wowkwok
397,BAGI PEJABAT NEGARA YG MEMILIKI DOLAR PASTI SENYUM2
398,Kemarin berisiko menuju 20 ribu hari ini bisa menuju 22 ribu
399,Dan pemerintah masih tidak mau mengakui kegagalanya
400,"Mau komen takut di bilang ""MATANYA BUREM"""
401,25 jg gpp.
402,MBG lebih utama yg penting🔥
403,Disaat harga-harga kebutuhan pokok naik.. Maka masyarakat baru terbangun dari bobo'nya dan bilang aku kageeett
404,Alhamdulillah. Semoga naik 22k lalu 25k
405,Jgn sampe ke 20 ribu deh. Amit amit
406,Prestasi si Gemoy
407,"Saya sebagai teknisi lemasss , ngarit ae."
408,Infonya bisa tembus 20
409,Yu bisa yu 20k
410,Mosi tdk percaya pd pemerintahan prabowo
411,"Lebih cepat lebih baik, sesuai janji CEO Indonesia bubar 2030"
412,mampuss...negara byk manusia anji...koruptor
413,MBG harus tetap jalan...????. 🔥🔥
414,"Fundamental ekonomi kuat buat kalangan atas, rakyat menengah ke bawah megap2, hampir semua kebutuhan dari Import, harga2 udh bisa dipastikan naik, kuat pala lu peyang ah"
415,Gpp yg bisa pting jl2 ke luar negeri.. 😂
416,Kayaknya pemerintah lagi main forex makanya harganya melambung tinggi sampai bitcoin pun tertunduk sujud melihatnya 😂😂😂
417,Wkkwkwk gubernur BI aman
418,Cb bilangin sm presiden di sebelah suruh berhenti yg main presiden2an.
419,Kerjanya ngapain pak @prabowo
420,Aku udah benci sama ceo itu ngerasa bener dampaknya sekarang
421,"Jangan panic lah.. uang Kita banyak, artinya Indonesia kuat... Bukan begitu Pak presiden @prabowo"
422,Yg penting MBG dn koprasi merah putih
423,mari kita bertemu lagi diagustus kamerad
424,wok mundur wok.
425,koq bs tembus 22rb trus fundamntal ekonomi diblg masih baik??
426,Siap siap deh 1998
427,investor luar kabur dan rakyat Indo kabur ke emas atau mata uang lain
428,"Tunggu ada pemimpin d negeri ini melepas dollarnya he-he-he 😂 SBY, Mega , Jokowi , Anies, Prabowo dsbnya"
429,Blm adakah pejabat terkait yg mengundurkan diri? Sepertinya sdh gak ada malunya
430,"Kata pak mentri ""ekonomi kita baik-baik saja"" berdasarkan pengamatan beliua di CFD 🔥🔥🔥"
431,"Euro , yen , emas dsb semua ke banting dollar .. tp sebenarnya tnggl d nikmati aja karena ini situasi global .. yang terpenting domestik aja .. stop impor dulu ekspor kencengin pemenuhan dalam negeri harus full terpenuhi terlebih dahulu ..minyak goreng , beras, pupuk dsb baru silahkan ekspor"
432,Sekalinya naik apakah bisa turun drastis?
433,Gara-gara zionis Israel
434,Lihat USD perkasa banget ngeri emas aja kebanting telak
435,25 ribu 1 dollar prof said
436,8 comments from Facebook
437,English Down chevron icon Afrikaans العربية Čeština Dansk Deutsch Ελληνικά English English (UK) Español (España) Español فارسی Suomi Français עברית Bahasa Indonesia Italiano 日本語 한국어 Bahasa Melayu Norsk Nederlands Polski Português (Brasil) Português (Portugal) Русский Svenska ภาษาไทย Filipino Türkçe 中文(简体) 中文(台灣) বাংলা ગુજરાતી हिन्दी Hrvatski Magyar ಕನ್ನಡ മലയാളം मराठी नेपाली ਪੰਜਾਬੀ සිංහල Slovenčina தமிழ் తెలుగు اردو Tiếng Việt 中文(香港) Български Français (Canada) Română Српски Українська
438,Down chevron icon
439,© 2026 Instagram from Meta
